DEV_KEY;en;tr;en_one;en_other;tr_one;tr_other
analytics.and;and;ve;;;;
analytics.biggestSpaceHogs;Videos are your biggest space hogs — you've saved %@ so far!;Videolar en çok yer kaplayan dosyalarınız — şimdiye kadar %@ kazandınız!;;;;
analytics.cleanedSaving;Cleaned %@, saving %@.;%@ temizlendi, %@ kazanıldı.;;;;
analytics.freedUpSoFar;You've freed up %@ so far!;Şimdiye kadar %@ yer açtınız!;;;;
analytics.itemsCleaned;You cleaned %d items and saved %@.;%d öge temizlediniz ve %@ kazandınız.;;;;
analytics.reviewedAndFreed;You've reviewed %d items and freed %@.;%d öge inceleyip %@ yer açtınız.;;;;
analytics.totalCleanup;Total cleanup: %d photos, %d videos — %@ saved.;Toplam temizlik: %d fotoğraf, %d video — %@ kazanıldı.;;;;
analytics.photosCount;;;%lld photo;%lld photos;%lld fotoğraf;%lld fotoğraf
analytics.videosCount;;;%lld video;%lld videos;%lld video;%lld video
common.cancel;Cancel;İptal;;;;
common.delete;Delete;Sil;;;;
common.ok;OK;Tamam;;;;
common.remove;Remove;Kaldır;;;;
dashboard.browsePhotos;Browse Photos;Fotoğrafları Gözat;;;;
dashboard.browseVideos;Browse Videos;Videoları Gözat;;;;
dashboard.browseSimilarPhotos;Browse Similar Photos;Benzer Fotoğraflara Gözat;;;;
dashboard.cleanedUpFallback;You cleaned up %d items, freeing %@ of space.;%d öge temizleyip %@ kazandınız.;;;;
dashboard.continueMonth;Continue %@;%@ ile Devam Et;;;;
dashboard.continueWhereLeftOff;Continue Where You Left Off;Kaldığınız Yerden Devam Edin;;;;
dashboard.getStarted;Get Started;Hemen Başlayın!;;;;
dashboard.reviewScreenshots;Review Screenshots;Ekran Görüntülerini İncele;;;;
dashboard.startFromYear;Start from %@;%@ Yılından Başla;;;;
dashboard.startReviewingImpact;Start reviewing to see your impact!;Yaptıklarını görmek için incelemeye başlayın!;;;;
dashboard.viewLargeVideos;View Large Videos;Büyük Videoları Gör;;;;
dashboard.yourImpact;Your Impact;Yaptıkların;;;;
deleteBin.allCleanedTitle;All Cleaned Up!;Her Şey Temizlendi!;;;;
